Tue Aug 18 05:20:32 AM UTC 2026
{"ok":true}
--- t+3s env status:   "status": "destroying",
--- t+6s env status:   "status": "destroyed",
--- t+9s env status:   "status": "destroyed",
--- t+12s env status:   "status": "destroyed",
--- t+15s env status:   "status": "destroyed",
--- t+18s env status:   "status": "destroyed",
--- t+21s env status:   "status": "destroyed",
--- t+24s env status:   "status": "destroyed",
--- t+27s env status:   "status": "destroyed",
--- t+30s env status:   "status": "destroyed",
